team,player,wickets
Kolkata Knight Riders,SP Narine,85
Kolkata Knight Riders,Shakib Al Hasan,43
Kolkata Knight Riders,JH Kallis,42
Kolkata Knight Riders,PP Chawla,36
Kolkata Knight Riders,L Balaji,33
Kolkata Knight Riders,M Morkel,32
Kolkata Knight Riders,R Bhatia,32
Kolkata Knight Riders,UT Yadav,31
Kolkata Knight Riders,AD Russell,30
Kolkata Knight Riders,Iqbal Abdulla,28
Royal Challengers Bangalore,R Vinay Kumar,72
Royal Challengers Bangalore,YS Chahal,56
Royal Challengers Bangalore,Z Khan,50
Royal Challengers Bangalore,A Kumble,45
Royal Challengers Bangalore,S Aravind,40
Royal Challengers Bangalore,P Kumar,34
Royal Challengers Bangalore,MA Starc,34
Royal Challengers Bangalore,HV Patel,31
Royal Challengers Bangalore,DW Steyn,27
Royal Challengers Bangalore,JH Kallis,23
Chennai Super Kings,R Ashwin,90
Chennai Super Kings,DJ Bravo,79
Chennai Super Kings,JA Morkel,76
Chennai Super Kings,MM Sharma,57
Chennai Super Kings,RA Jadeja,55
Chennai Super Kings,SB Jakati,45
Chennai Super Kings,M Muralitharan,41
Chennai Super Kings,DE Bollinger,38
Chennai Super Kings,A Nehra,30
Chennai Super Kings,L Balaji,28
Kings XI Punjab,PP Chawla,84
Kings XI Punjab,Sandeep Sharma,54
Kings XI Punjab,IK Pathan,47
Kings XI Punjab,AR Patel,43
Kings XI Punjab,P Awana,39
Kings XI Punjab,P Kumar,31
Kings XI Punjab,S Sreesanth,29
Kings XI Punjab,MG Johnson,29
Kings XI Punjab,Azhar Mahmood,29
Kings XI Punjab,RJ Harris,25
Rajasthan Royals,SK Trivedi,65
Rajasthan Royals,SR Watson,61
Rajasthan Royals,SK Warne,57
Rajasthan Royals,JP Faulkner,47
Rajasthan Royals,KK Cooper,33
Rajasthan Royals,MM Patel,33
Rajasthan Royals,A Singh,28
Rajasthan Royals,SW Tait,24
Rajasthan Royals,PV Tambe,23
Rajasthan Royals,Sohail Tanvir,22
Delhi Daredevils,A Mishra,64
Delhi Daredevils,M Morkel,45
Delhi Daredevils,UT Yadav,43
Delhi Daredevils,A Nehra,36
Delhi Daredevils,S Nadeem,31
Delhi Daredevils,Imran Tahir,29
Delhi Daredevils,IK Pathan,29
Delhi Daredevils,PJ Sangwan,29
Delhi Daredevils,MF Maharoof,27
Delhi Daredevils,DP Nannes,22
Mumbai Indians,SL Malinga,140
Mumbai Indians,Harbhajan Singh,118
Mumbai Indians,KA Pollard,56
Mumbai Indians,MM Patel,40
Mumbai Indians,DS Kulkarni,36
Mumbai Indians,MJ McClenaghan,35
Mumbai Indians,PP Ojha,29
Mumbai Indians,Z Khan,26
Mumbai Indians,JJ Bumrah,26
Mumbai Indians,MG Johnson,24
Deccan Chargers,PP Ojha,60
Deccan Chargers,RP Singh,51
Deccan Chargers,A Mishra,32
Deccan Chargers,DW Steyn,32
Deccan Chargers,RJ Harris,20
Deccan Chargers,A Symonds,19
Deccan Chargers,DT Christian,19
Deccan Chargers,WPUJC Vaas,18
Deccan Chargers,RG Sharma,14
Deccan Chargers,Harmeet Singh,14
Kochi Tuskers Kerala,RP Singh,13
Kochi Tuskers Kerala,R Vinay Kumar,12
Kochi Tuskers Kerala,RA Jadeja,8
Kochi Tuskers Kerala,BJ Hodge,7
Kochi Tuskers Kerala,S Sreesanth,7
Kochi Tuskers Kerala,RV Gomez,5
Kochi Tuskers Kerala,P Parameswaran,4
Kochi Tuskers Kerala,NLTC Perera,2
Kochi Tuskers Kerala,M Muralitharan,2
Kochi Tuskers Kerala,RR Powar,2
Pune Warriors,R Sharma,34
Pune Warriors,AB Dinda,25
Pune Warriors,B Kumar,24
Pune Warriors,WD Parnell,21
Pune Warriors,Yuvraj Singh,15
Pune Warriors,MR Marsh,14
Pune Warriors,AC Thomas,14
Pune Warriors,AD Mathews,12
Pune Warriors,A Nehra,11
Pune Warriors,MN Samuels,9
Sunrisers Hyderabad,B Kumar,61
Sunrisers Hyderabad,KV Sharma,37
Sunrisers Hyderabad,DW Steyn,33
Sunrisers Hyderabad,A Mishra,28
Sunrisers Hyderabad,MC Henriques,27
Sunrisers Hyderabad,NLTC Perera,19
Sunrisers Hyderabad,I Sharma,19
Sunrisers Hyderabad,Mustafizur Rahman,17
Sunrisers Hyderabad,BB Sran,14
Sunrisers Hyderabad,DJG Sammy,11
Rising Pune Supergiants,A Zampa,12
Rising Pune Supergiants,AB Dinda,11
Rising Pune Supergiants,R Ashwin,10
Rising Pune Supergiants,NLTC Perera,9
Rising Pune Supergiants,M Ashwin,7
Rising Pune Supergiants,R Bhatia,6
Rising Pune Supergiants,MR Marsh,4
Rising Pune Supergiants,RP Singh,3
Rising Pune Supergiants,I Sharma,3
Rising Pune Supergiants,SM Boland,2
Rising Pune Supergiants,JA Morkel,2
Gujarat Lions,DS Kulkarni,18
Gujarat Lions,DJ Bravo,17
Gujarat Lions,P Kumar,9
Gujarat Lions,DR Smith,8
Gujarat Lions,RA Jadeja,8
Gujarat Lions,S Kaushik,6
Gujarat Lions,PV Tambe,5
Gujarat Lions,JP Faulkner,2
Gujarat Lions,SB Jakati,2
