season,team,wins
1,Kolkata Knight Riders,6
1,Royal Challengers Bangalore,4
1,Chennai Super Kings,9
1,Kings XI Punjab,10
1,Rajasthan Royals,13
1,Delhi Daredevils,7
1,Mumbai Indians,7
1,Deccan Chargers,2
2,Kolkata Knight Riders,3
2,Royal Challengers Bangalore,9
2,Chennai Super Kings,8
2,Kings XI Punjab,7
2,Rajasthan Royals,6
2,Delhi Daredevils,10
2,Mumbai Indians,5
2,Deccan Chargers,9
3,Kolkata Knight Riders,7
3,Royal Challengers Bangalore,8
3,Chennai Super Kings,9
3,Kings XI Punjab,4
3,Rajasthan Royals,6
3,Delhi Daredevils,7
3,Mumbai Indians,11
3,Deccan Chargers,8
4,Kolkata Knight Riders,8
4,Royal Challengers Bangalore,10
4,Chennai Super Kings,11
4,Kings XI Punjab,7
4,Rajasthan Royals,6
4,Delhi Daredevils,4
4,Mumbai Indians,10
4,Deccan Chargers,6
4,Kochi Tuskers Kerala,6
4,Pune Warriors,4
5,Kolkata Knight Riders,12
5,Royal Challengers Bangalore,8
5,Chennai Super Kings,10
5,Kings XI Punjab,8
5,Rajasthan Royals,7
5,Delhi Daredevils,11
5,Mumbai Indians,10
5,Deccan Chargers,4
5,Pune Warriors,4
6,Kolkata Knight Riders,6
6,Royal Challengers Bangalore,9
6,Chennai Super Kings,12
6,Kings XI Punjab,8
6,Rajasthan Royals,11
6,Delhi Daredevils,3
6,Mumbai Indians,13
6,Pune Warriors,4
6,Sunrisers Hyderabad,10
7,Kolkata Knight Riders,11
7,Royal Challengers Bangalore,5
7,Chennai Super Kings,10
7,Kings XI Punjab,12
7,Rajasthan Royals,7
7,Delhi Daredevils,2
7,Mumbai Indians,7
7,Sunrisers Hyderabad,6
8,Kolkata Knight Riders,7
8,Royal Challengers Bangalore,8
8,Chennai Super Kings,10
8,Kings XI Punjab,3
8,Rajasthan Royals,7
8,Delhi Daredevils,5
8,Mumbai Indians,10
8,Sunrisers Hyderabad,7
9,Kolkata Knight Riders,8
9,Royal Challengers Bangalore,9
9,Kings XI Punjab,4
9,Delhi Daredevils,7
9,Mumbai Indians,7
9,Sunrisers Hyderabad,11
9,Rising Pune Supergiants,5
9,Gujarat Lions,9
