runs,average,player name,season
616,56,SE Marsh,1
534,38.14285714,G Gambhir,1
514,36.71428571,ST Jayasuriya,1
468,31.2,SR Watson,1
441,40.09090909,GC Smith,1
436,31.14285714,AC Gilchrist,1
435,29,YK Pathan,1
421,30.07142857,SK Raina,1
414,29.57142857,MS Dhoni,1
406,29,V Sehwag,1
572,47.66666667,ML Hayden,2
495,30.9375,AC Gilchrist,2
465,35.76923077,AB de Villiers,2
434,31,SK Raina,2
418,32.15384615,TM Dilshan,2
372,31,JP Duminy,2
371,26.5,HH Gibbs,2
365,30.41666667,BJ Hodge,2
364,28,SR Tendulkar,2
362,22.625,RG Sharma,2
617,41.13333333,SR Tendulkar,3
572,35.75,JH Kallis,3
528,33,SK Raina,3
493,35.21428571,SC Ganguly,3
458,30.53333333,M Vijay,3
445,34.23076923,DPMD Jayawardene,3
429,26.8125,A Symonds,3
419,27.93333333,SS Tiwary,3
404,25.25,RG Sharma,3
377,26.92857143,NV Ojha,3
604,50.33333333,CH Gayle,4
557,34.8125,V Kohli,4
553,34.5625,SR Tendulkar,4
504,38.76923077,SE Marsh,4
492,35.14285714,MEK Hussey,4
459,32.78571429,PC Valthaty,4
438,27.375,SK Raina,4
434,27.125,M Vijay,4
424,38.54545455,V Sehwag,4
424,30.28571429,JH Kallis,4
733,52.35714286,CH Gayle,5
590,34.70588235,G Gambhir,5
569,37.93333333,S Dhawan,5
560,35,AM Rahane,5
495,30.9375,V Sehwag,5
479,36.84615385,CL White,5
462,28.875,R Dravid,5
441,24.5,SK Raina,5
433,27.0625,RG Sharma,5
432,27,Mandeep Singh,5
733,43.11764706,MEK Hussey,6
720,45,CH Gayle,6
639,39.9375,V Kohli,6
548,32.23529412,SK Raina,6
543,33.9375,SR Watson,6
538,28.31578947,RG Sharma,6
510,26.84210526,KD Karthik,6
488,27.11111111,AM Rahane,6
471,27.70588235,R Dravid,6
461,28.8125,MS Dhoni,6
660,41.25,RV Uthappa,7
566,35.375,DR Smith,7
552,34.5,GJ Maxwell,7
528,37.71428571,DA Warner,7
523,32.6875,SK Raina,7
455,26.76470588,V Sehwag,7
446,27.875,DA Miller,7
410,29.28571429,JP Duminy,7
409,27.26666667,MK Pandey,7
405,28.92857143,BB McCullum,7
562,40.14285714,DA Warner,8
540,41.53846154,LMP Simmons,8
540,41.53846154,AM Rahane,8
513,36.64285714,AB de Villiers,8
505,31.5625,V Kohli,8
491,35.07142857,CH Gayle,8
482,30.125,RG Sharma,8
439,31.35714286,SS Iyer,8
436,31.14285714,BB McCullum,8
419,29.92857143,KA Pollard,8
969,60.5625,V Kohli,9
848,49.88235294,DA Warner,9
687,42.9375,AB de Villiers,9
501,29.47058824,S Dhawan,9
501,33.4,G Gambhir,9
489,34.92857143,RG Sharma,9
480,34.28571429,AM Rahane,9
453,32.35714286,M Vijay,9
445,34.23076923,Q de Kock,9
399,26.6,SK Raina,9
